******************************************************************
records on FG_NET dataset under leave one person out protocol

******************************************************************


******************************************************************
train and test on ID: 1
******************************************************************
epoch, train_total_loss, train_argmax_MAE, train_accuracy
053, 3.4878, 1.3911, 98.6140
054, 3.8224, 1.5441, 98.4569
055, 4.0460, 1.5968, 98.3951
056, 3.9257, 1.6221, 98.3830
057, 3.8715, 1.6039, 98.3982
058, 3.7436, 1.5035, 98.4995
059, 4.2769, 1.7781, 98.2239
060, 3.8410, 1.5816, 98.4184
061, 3.7989, 1.5603, 98.4438
062, 3.5514, 1.3840, 98.6211
063, 4.0181, 1.6535, 98.3404
064, 3.6863, 1.5329, 98.4732
065, 3.6083, 1.4681, 98.5309
test_total_loss, test_argmax_MAE, test_accuracy:
8.8300, 3.5333, 96.4667
******************************************************************
train and test on ID: 2
******************************************************************
epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 23.2073, 9.5254, 89.9402
002, 15.8914, 6.8043, 93.1704
003, 14.1479, 6.0801, 93.8915
004, 13.0152, 5.6258, 94.3864
005, 11.5838, 5.0781, 94.9239
006, 11.7419, 5.0649, 94.9168
007, 10.7101, 4.6126, 95.4016
008, 9.9917, 4.2850, 95.7049
009, 9.3928, 4.0264, 95.9726
010, 9.2764, 4.0385, 95.9574
011, 9.5145, 4.0842, 95.9087
012, 9.1212, 3.8966, 96.0984
013, 9.4882, 4.0456, 95.9533
014, 8.3793, 3.5578, 96.4351
015, 8.3212, 3.5943, 96.3986
016, 8.1707, 3.4574, 96.5254
017, 8.2531, 3.4229, 96.5690
018, 7.4177, 3.2333, 96.7546
019, 7.6411, 3.1907, 96.8022
020, 7.3923, 3.1187, 96.8742
021, 7.3962, 3.1055, 96.8895
022, 6.4243, 2.7120, 97.2830
023, 7.1958, 3.1207, 96.8813
024, 6.8272, 2.8367, 97.1582
025, 7.4559, 3.0862, 96.9168
026, 6.5623, 2.7738, 97.2201
027, 6.3078, 2.6947, 97.3002
028, 6.4428, 2.7434, 97.2606
029, 6.4615, 2.7373, 97.2647
030, 6.3414, 2.6744, 97.3103
031, 5.1061, 2.1318, 97.8682
032, 4.7954, 1.9473, 98.0355
033, 4.8327, 2.0132, 97.9878
034, 4.9258, 2.0020, 97.9939
035, 4.5217, 1.8824, 98.1065
036, 4.7110, 2.0193, 97.9716
037, 4.4723, 1.8550, 98.1410
038, 5.0480, 2.1146, 97.8884
039, 4.3690, 1.8408, 98.1643
040, 4.3828, 1.7860, 98.2099
041, 4.2057, 1.6957, 98.3032
042, 4.3341, 1.7911, 98.2059
043, 4.1189, 1.7657, 98.2495
044, 3.9482, 1.5943, 98.3955
045, 4.0810, 1.6288, 98.3641
046, 4.2446, 1.7617, 98.2404
047, 3.7795, 1.5213, 98.4777
048, 4.2257, 1.7809, 98.2201
049, 4.0759, 1.6957, 98.3073
050, 3.9480, 1.6552, 98.3428
051, 4.1802, 1.7546, 98.2495
052, 3.7634, 1.5527, 98.4584
053, 3.8967, 1.6095, 98.3915
054, 3.9978, 1.6136, 98.3813
055, 3.9879, 1.6775, 98.3225
056, 3.8488, 1.5751, 98.4158
057, 3.6915, 1.4239, 98.5690
058, 4.1354, 1.6775, 98.3215
059, 3.9595, 1.5720, 98.4270
060, 4.0396, 1.6308, 98.3590
061, 4.1120, 1.7049, 98.3012
062, 3.8420, 1.5578, 98.4290
063, 3.9175, 1.6318, 98.3641
064, 3.8278, 1.5791, 98.4219
065, 3.8510, 1.5061, 98.4787
test_total_loss, test_argmax_MAE, test_accuracy:
15.6368, 5.5000, 94.1875
******************************************************************
train and test on ID: 3
******************************************************************
epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 22.3087, 8.9091, 90.3030
002, 16.0731, 6.8949, 93.0970
003, 14.3660, 6.1616, 93.8242
004, 11.9339, 5.0343, 94.9626
005, 10.8857, 4.5717, 95.4212
006, 11.1420, 4.7879, 95.2253
007, 11.0080, 4.6848, 95.2990
008, 9.7546, 4.1253, 95.8758
009, 9.9664, 4.1980, 95.7909
010, 9.0660, 3.8778, 96.1242
011, 9.3403, 3.9768, 96.0242
012, 8.7453, 3.7899, 96.1939
013, 8.8879, 3.8414, 96.1576
014, 8.3093, 3.5323, 96.4707
015, 7.5706, 3.1778, 96.8263
016, 8.1328, 3.4808, 96.5232
017, 7.6216, 3.2990, 96.7020
018, 7.7027, 3.2364, 96.7566
019, 7.3783, 3.1444, 96.8444
020, 7.6777, 3.2606, 96.7434
021, 7.2035, 3.0828, 96.9121
022, 7.5899, 3.1081, 96.8909
023, 6.6031, 2.8525, 97.1495
024, 7.0062, 2.9000, 97.0919
025, 6.6849, 2.8293, 97.1707
026, 5.9486, 2.5495, 97.4475
027, 6.0637, 2.5606, 97.4354
028, 6.5973, 2.7889, 97.2091
029, 6.8273, 2.8960, 97.0929
030, 6.3315, 2.6556, 97.3505
031, 5.8645, 2.4343, 97.5556
032, 5.6629, 2.3273, 97.6768
033, 4.8505, 2.0121, 97.9889
034, 5.2094, 2.2212, 97.7747
035, 4.7463, 1.9354, 98.0556
036, 4.7704, 1.9960, 97.9909
037, 4.6368, 1.9677, 98.0323
038, 4.4236, 1.8323, 98.1737
039, 4.2750, 1.8091, 98.2010
040, 4.5600, 1.9242, 98.0778
041, 4.2265, 1.7141, 98.2838
042, 4.3029, 1.7051, 98.2919
043, 4.2449, 1.7697, 98.2242
044, 4.5089, 1.8475, 98.1465
045, 3.9542, 1.6505, 98.3566
046, 4.3117, 1.7889, 98.1960
047, 4.2901, 1.8515, 98.1556
048, 4.1271, 1.6556, 98.3424
049, 3.9177, 1.6485, 98.3576
050, 4.4369, 1.8182, 98.1828
051, 3.9737, 1.6556, 98.3475
052, 3.7905, 1.5323, 98.4646
053, 3.9895, 1.6131, 98.3838
054, 3.8407, 1.6212, 98.3788
055, 3.6967, 1.5212, 98.4778
056, 3.9944, 1.7000, 98.3040
057, 4.0286, 1.6616, 98.3343
058, 3.8622, 1.5788, 98.4212
059, 4.0205, 1.6727, 98.3202
060, 4.3633, 1.7727, 98.2152
061, 4.0090, 1.6485, 98.3525
062, 3.8486, 1.5394, 98.4596
063, 3.9818, 1.6343, 98.3606
064, 3.9817, 1.6364, 98.3566
065, 4.2477, 1.7323, 98.2687
test_total_loss, test_argmax_MAE, test_accuracy:
39.7948, 11.3333, 88.6667
******************************************************************
train and test on ID: 4
******************************************************************
epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 23.6088, 9.3293, 89.7374
002, 16.4485, 7.1535, 92.8263
003, 13.3580, 5.8232, 94.1626
004, 12.3286, 5.3556, 94.6354
005, 11.7358, 5.0101, 94.9879
006, 11.3863, 4.9869, 95.0081
007, 10.3992, 4.4879, 95.5152
008, 9.7642, 4.1121, 95.9010
009, 9.3577, 3.9879, 96.0051
010, 9.5139, 4.0697, 95.9242
011, 8.6575, 3.7313, 96.2545
012, 8.6772, 3.7889, 96.2000
013, 8.5087, 3.6333, 96.3535
014, 8.4264, 3.4990, 96.4980
015, 8.0658, 3.3394, 96.6505
016, 8.0650, 3.4465, 96.5707
017, 7.1967, 3.0929, 96.9010
018, 7.4066, 3.1434, 96.8586
019, 6.6604, 2.7798, 97.2303
020, 6.9889, 2.9020, 97.0848
021, 7.1673, 3.0121, 96.9899
022, 7.5695, 3.2566, 96.7394
023, 6.7409, 2.8343, 97.1576
024, 6.3835, 2.7000, 97.2949
025, 6.8500, 2.8909, 97.1121
026, 6.2907, 2.6091, 97.3717
027, 6.2766, 2.6051, 97.3889
028, 5.8534, 2.4970, 97.4960
029, 6.3387, 2.6364, 97.3727
030, 5.9908, 2.5374, 97.4596
031, 5.5963, 2.2929, 97.7061
032, 5.0643, 2.1303, 97.8687
033, 4.7527, 1.9889, 98.0101
034, 4.6530, 1.9990, 97.9889
035, 4.5507, 1.8657, 98.1263
036, 4.7340, 1.9899, 98.0051
037, 4.4343, 1.7495, 98.2475
038, 4.4049, 1.7556, 98.2414
039, 4.8125, 2.0202, 97.9677
040, 4.2782, 1.7465, 98.2586
041, 4.4776, 1.7889, 98.1949
042, 4.2327, 1.7242, 98.2768
043, 3.9990, 1.6545, 98.3525
044, 4.1797, 1.7424, 98.2586
045, 3.9898, 1.6354, 98.3505
046, 3.8571, 1.6020, 98.3919
047, 3.8110, 1.5414, 98.4566
048, 3.7066, 1.5051, 98.4919
049, 3.5566, 1.4333, 98.5667
050, 4.3142, 1.7990, 98.2061
051, 3.8672, 1.5202, 98.4798
052, 3.9339, 1.6253, 98.3727
053, 3.8752, 1.6192, 98.3828
054, 3.6454, 1.4505, 98.5434
055, 3.6331, 1.5010, 98.5000
056, 3.8993, 1.5758, 98.4253
057, 3.8003, 1.5636, 98.4444
058, 3.7692, 1.5556, 98.4434
059, 3.7199, 1.4788, 98.5172
060, 3.7385, 1.4545, 98.5374
061, 3.3356, 1.3515, 98.6515
062, 4.0705, 1.6697, 98.3273
063, 3.4604, 1.4606, 98.5424
064, 3.4872, 1.3990, 98.5980
065, 3.8894, 1.6273, 98.3616
test_total_loss, test_argmax_MAE, test_accuracy:
33.1996, 9.8333, 90.1667
******************************************************************
train and test on ID: 5
******************************************************************
epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 22.3938, 9.0545, 90.1907
002, 14.4010, 6.1564, 93.8335
003, 13.7150, 5.8496, 94.1181
004, 12.3749, 5.3623, 94.6418
005, 11.4283, 4.9031, 95.0908
006, 10.5981, 4.5096, 95.4813
007, 9.9856, 4.3088, 95.6902
008, 9.5302, 4.0666, 95.9183
009, 9.2856, 4.0141, 95.9808
010, 9.4062, 4.0323, 95.9707
011, 8.9317, 3.8779, 96.1352
012, 8.7579, 3.7144, 96.2836
013, 8.0371, 3.5348, 96.4682
014, 9.1023, 3.8749, 96.1080
015, 7.4288, 3.0898, 96.9263
016, 7.2771, 3.0333, 96.9687
017, 7.1864, 3.0646, 96.9284
018, 6.8748, 2.9102, 97.0979
019, 7.8057, 3.2896, 96.7154
020, 7.3764, 3.0706, 96.9263
021, 7.3469, 3.1150, 96.8840
022, 7.0592, 2.9707, 97.0283
023, 7.0272, 2.8991, 97.0868
024, 6.6017, 2.8426, 97.1544
025, 6.6582, 2.7114, 97.2755
026, 6.3063, 2.6993, 97.3138
027, 6.4129, 2.6519, 97.3512
028, 6.1255, 2.5671, 97.4127
029, 6.1089, 2.5520, 97.4359
030, 6.1630, 2.6085, 97.3986
031, 5.5200, 2.3078, 97.6942
032, 4.9723, 2.0757, 97.9243
033, 4.5273, 1.8749, 98.1302
034, 4.7825, 1.9495, 98.0454
035, 4.9983, 2.0777, 97.9284
036, 4.8009, 1.9717, 98.0192
037, 4.5630, 1.8759, 98.1150
038, 4.0766, 1.6428, 98.3542
039, 4.7327, 1.9889, 98.0081
040, 4.3554, 1.7962, 98.2038
041, 4.0612, 1.6720, 98.3148
042, 4.5325, 1.8688, 98.1292
043, 4.1204, 1.7447, 98.2583
044, 4.3398, 1.8073, 98.1937
045, 4.3395, 1.7982, 98.1998
046, 3.8198, 1.5187, 98.4793
047, 4.2286, 1.7265, 98.2876
048, 4.2566, 1.8042, 98.2069
049, 4.1214, 1.6932, 98.3098
050, 4.5808, 1.8971, 98.0989
051, 3.9270, 1.6095, 98.3824
052, 3.6866, 1.4965, 98.4985
053, 3.9544, 1.5913, 98.4147
054, 4.0270, 1.6014, 98.3986
055, 3.6799, 1.4551, 98.5510
056, 3.9238, 1.5822, 98.4268
057, 3.6624, 1.4914, 98.5126
058, 3.7463, 1.5469, 98.4642
059, 3.8221, 1.5136, 98.4844
060, 3.4880, 1.3794, 98.6145
061, 3.7643, 1.5631, 98.4430
062, 3.9400, 1.6357, 98.3633
063, 3.7295, 1.5247, 98.4612
064, 3.7159, 1.5449, 98.4531
065, 3.8680, 1.5822, 98.4016
test_total_loss, test_argmax_MAE, test_accuracy:
41.8334, 11.4545, 88.5455
******************************************************************
train and test on ID: 6
******************************************************************
epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 22.7588, 8.8465, 90.0162
002, 14.4516, 6.2303, 93.7596
003, 13.2730, 5.8535, 94.1434
004, 12.1575, 5.2273, 94.7485
005, 11.1457, 4.8636, 95.1424
006, 10.4422, 4.5182, 95.4596
007, 10.0368, 4.2788, 95.7152
008, 9.4923, 4.0545, 95.9465
009, 10.5008, 4.4020, 95.5899
010, 9.4685, 4.0788, 95.9202
011, 8.7230, 3.7828, 96.2222
012, 8.1118, 3.3960, 96.6030
013, 7.6804, 3.3303, 96.6667
014, 7.6739, 3.2253, 96.7808
015, 7.7780, 3.3061, 96.6828
016, 7.8678, 3.3020, 96.7030
017, 7.3305, 3.1485, 96.8616
018, 7.5051, 3.2414, 96.7525
019, 7.3034, 3.0727, 96.9162
020, 6.7393, 2.8889, 97.1091
021, 6.5037, 2.6970, 97.2778
022, 6.9302, 2.9636, 97.0343
023, 6.9992, 2.9343, 97.0697
024, 6.8054, 2.8192, 97.1808
025, 6.5902, 2.7202, 97.2778
026, 6.5556, 2.7980, 97.2030
027, 6.0279, 2.5323, 97.4576
028, 5.9655, 2.5131, 97.4596
029, 6.2853, 2.6131, 97.3758
030, 6.1573, 2.5424, 97.4606
031, 5.5838, 2.3071, 97.7010
032, 4.8482, 1.9283, 98.0646
033, 5.1480, 2.1434, 97.8677
034, 4.6844, 1.9606, 98.0384
035, 4.5383, 1.8646, 98.1414
036, 4.5411, 1.8707, 98.1253
037, 4.4942, 1.9273, 98.0747
038, 4.3120, 1.7929, 98.2111
039, 4.2093, 1.7424, 98.2596
040, 4.0655, 1.6687, 98.3343
041, 3.9780, 1.5768, 98.4152
042, 4.1778, 1.7495, 98.2465
043, 3.9743, 1.6768, 98.3242
044, 4.1848, 1.7242, 98.2646
045, 4.0349, 1.6667, 98.3293
046, 4.0134, 1.7071, 98.3000
047, 3.9280, 1.5667, 98.4273
048, 3.6450, 1.5051, 98.4848
049, 3.8790, 1.5909, 98.4111
050, 3.8510, 1.5768, 98.4141
051, 3.6162, 1.4778, 98.5222
052, 3.7537, 1.5343, 98.4687
053, 3.6971, 1.4859, 98.5121
054, 3.5408, 1.4293, 98.5697
055, 3.7990, 1.5091, 98.4939
056, 3.6895, 1.5111, 98.4808
057, 3.4305, 1.3525, 98.6535
058, 3.6496, 1.5081, 98.4980
059, 3.7448, 1.5566, 98.4515
060, 3.7743, 1.5414, 98.4545
061, 3.8258, 1.5434, 98.4556
062, 3.7209, 1.4636, 98.5354
063, 3.5266, 1.4586, 98.5404
064, 4.0181, 1.6505, 98.3475
065, 3.7316, 1.4970, 98.5091
test_total_loss, test_argmax_MAE, test_accuracy:
72.9545, 16.0833, 83.9167
******************************************************************
train and test on ID: 7
******************************************************************
epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 23.1755, 9.5831, 89.8167
002, 15.2421, 6.5287, 93.4381
003, 14.4839, 6.1360, 93.8479
004, 13.1888, 5.6606, 94.3323
005, 12.1588, 5.1702, 94.8429
006, 11.5507, 4.8872, 95.1027
007, 11.9560, 5.0101, 94.9778
008, 10.8069, 4.6143, 95.3857
009, 11.0711, 4.5358, 95.4582
010, 10.1195, 4.2880, 95.7029
011, 9.8339, 4.2155, 95.7825
012, 9.5497, 4.0594, 95.9225
013, 10.0251, 4.1772, 95.8157
014, 8.8099, 3.8157, 96.1722
015, 8.7383, 3.6435, 96.3474
016, 8.2644, 3.4290, 96.5579
017, 8.4699, 3.5458, 96.4461
018, 7.6887, 3.2044, 96.7956
019, 7.4720, 3.1309, 96.8691
020, 8.1899, 3.4592, 96.5378
021, 8.1626, 3.4683, 96.5166
022, 7.4346, 3.1863, 96.8066
023, 7.5167, 3.2064, 96.7815
024, 7.2771, 3.0131, 96.9597
025, 7.7405, 3.1994, 96.7986
026, 7.2592, 3.0524, 96.9527
027, 7.4644, 2.9617, 97.0332
028, 7.5886, 3.2689, 96.7432
029, 6.8443, 2.7734, 97.2175
030, 6.4004, 2.6425, 97.3454
031, 5.9767, 2.5166, 97.4844
032, 5.1204, 2.1178, 97.8771
033, 5.2430, 2.2044, 97.7946
034, 4.8981, 1.9980, 97.9960
035, 4.8107, 1.9849, 98.0141
036, 4.7849, 1.9295, 98.0655
037, 4.6379, 1.9174, 98.0816
038, 4.5861, 1.9124, 98.0816
039, 4.6614, 1.9396, 98.0645
040, 4.6205, 1.8409, 98.1571
041, 4.3521, 1.7714, 98.2296
042, 4.9717, 1.9466, 98.0403
043, 4.6683, 1.9003, 98.0977
044, 4.7451, 2.0262, 97.9839
045, 4.5489, 1.8610, 98.1460
046, 4.4870, 1.8419, 98.1591
047, 4.5552, 1.8167, 98.1813
048, 4.4792, 1.8278, 98.1601
049, 4.2459, 1.6949, 98.3011
050, 4.3621, 1.8197, 98.1843
051, 4.2883, 1.7331, 98.2649
052, 4.1720, 1.6737, 98.3323
053, 4.0999, 1.6193, 98.3837
054, 3.8956, 1.5438, 98.4552
055, 4.0063, 1.5881, 98.4139
056, 4.1775, 1.6375, 98.3535
057, 4.5677, 1.8369, 98.1581
058, 4.1600, 1.6616, 98.3414
059, 3.8053, 1.4532, 98.5468
060, 4.2012, 1.6757, 98.3223
061, 4.0408, 1.5760, 98.4220
062, 4.0595, 1.6203, 98.3706
063, 4.2435, 1.6798, 98.3182
064, 4.0666, 1.6647, 98.3384
065, 4.1409, 1.6737, 98.3212
test_total_loss, test_argmax_MAE, test_accuracy:
8.9831, 3.5556, 96.4444
******************************************************************
train and test on ID: 8
******************************************************************
epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 23.3199, 9.2239, 89.8916
002, 16.0764, 6.9970, 92.9848
003, 13.8088, 5.9534, 94.0375
004, 12.0681, 5.1388, 94.8501
005, 11.4052, 4.7822, 95.2249
006, 10.6889, 4.6221, 95.3739
007, 10.4930, 4.4620, 95.5329
008, 10.3184, 4.4195, 95.5714
009, 9.8543, 4.2107, 95.7720
010, 8.6304, 3.6120, 96.3921
011, 9.3875, 4.0081, 95.9878
012, 8.3012, 3.6342, 96.3688
013, 8.9651, 3.7599, 96.2310
014, 7.9916, 3.3354, 96.6444
015, 8.1066, 3.4985, 96.4914
016, 8.3284, 3.5684, 96.4296
017, 7.3470, 3.1570, 96.8460
018, 8.1580, 3.5653, 96.4113
019, 7.2514, 3.1033, 96.8936
020, 7.6518, 3.2330, 96.7670
021, 7.2646, 3.1226, 96.8663
022, 7.2224, 3.0132, 96.9757
023, 7.1363, 2.9422, 97.0456
024, 6.9268, 2.8430, 97.1307
025, 6.4744, 2.7680, 97.2411
026, 6.8454, 2.8389, 97.1408
027, 6.4246, 2.6738, 97.3161
028, 6.0419, 2.5897, 97.4113
029, 7.0272, 2.9534, 97.0436
030, 6.4608, 2.6606, 97.3404
031, 5.4989, 2.2938, 97.7011
032, 5.0030, 2.0638, 97.9382
033, 4.7724, 1.9868, 98.0182
034, 4.5289, 1.8490, 98.1499
035, 4.7549, 1.9889, 98.0142
036, 4.4474, 1.7832, 98.2219
037, 4.6699, 1.9321, 98.0729
038, 4.2431, 1.7214, 98.2796
039, 4.4015, 1.8116, 98.1864
040, 4.4013, 1.8632, 98.1277
041, 4.2371, 1.7852, 98.2148
042, 4.1856, 1.7477, 98.2503
043, 4.4537, 1.8896, 98.1054
044, 4.1652, 1.7011, 98.3019
045, 3.8165, 1.5684, 98.4286
046, 3.8375, 1.5360, 98.4630
047, 4.0695, 1.6636, 98.3364
048, 3.8569, 1.6049, 98.3901
049, 4.0834, 1.6727, 98.3262
050, 4.0927, 1.7123, 98.2796
051, 3.8146, 1.5664, 98.4377
052, 4.0019, 1.6434, 98.3475
053, 4.0187, 1.6798, 98.3262
054, 3.8313, 1.6322, 98.3708
055, 3.9100, 1.6069, 98.3972
056, 3.8488, 1.6829, 98.3262
057, 3.8161, 1.6282, 98.3739
058, 4.1792, 1.7204, 98.2806
059, 3.8698, 1.6130, 98.4053
060, 3.7005, 1.5117, 98.4823
061, 3.5849, 1.4174, 98.5795
062, 3.9984, 1.6494, 98.3526
063, 4.0246, 1.6008, 98.3820
064, 3.7926, 1.5370, 98.4610
065, 3.8329, 1.5390, 98.4590
test_total_loss, test_argmax_MAE, test_accuracy:
7.9043, 2.9333, 97.1333
******************************************************************
train and test on ID: 9
******************************************************************
epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 23.6632, 9.5470, 89.8382
002, 16.2587, 6.8463, 93.1426
003, 13.6782, 5.9181, 94.0799
004, 12.7909, 5.4408, 94.5662
005, 11.3390, 4.9201, 95.0849
006, 11.8688, 5.0950, 94.8979
007, 10.4239, 4.5642, 95.4307
008, 10.0969, 4.3822, 95.6097
009, 10.0027, 4.2609, 95.7492
010, 9.0902, 3.8948, 96.0950
011, 9.3990, 3.9444, 96.0465
012, 8.6854, 3.7068, 96.3023
013, 8.4455, 3.5602, 96.4378
014, 8.5365, 3.7088, 96.2841
015, 7.8370, 3.4105, 96.6067
016, 7.9663, 3.3407, 96.6582
017, 7.5343, 3.1931, 96.8119
018, 7.6514, 3.2376, 96.7604
019, 7.4881, 3.2487, 96.7462
020, 7.6186, 3.1951, 96.7897
021, 7.4452, 3.0910, 96.9019
022, 7.8650, 3.3205, 96.6744
023, 6.7696, 2.8635, 97.1385
024, 7.1670, 3.0020, 97.0081
025, 7.0568, 2.9383, 97.0617
026, 6.6848, 2.7351, 97.2457
027, 6.0666, 2.5683, 97.4338
028, 6.1565, 2.6057, 97.3994
029, 6.4406, 2.6744, 97.3084
030, 6.7946, 2.8473, 97.1355
031, 5.4646, 2.2073, 97.7674
032, 5.2054, 2.1193, 97.8655
033, 5.0245, 2.0293, 97.9656
034, 5.1484, 2.1476, 97.8493
035, 5.0246, 2.1132, 97.8868
036, 4.7658, 2.0324, 97.9666
037, 4.7519, 1.9858, 98.0081
038, 4.4819, 1.8493, 98.1537
039, 4.7858, 2.0081, 97.9828
040, 4.1791, 1.7058, 98.2902
041, 4.1737, 1.6997, 98.3054
042, 4.1535, 1.7118, 98.2892
043, 4.5617, 1.9737, 98.0334
044, 4.2388, 1.7412, 98.2528
045, 4.1543, 1.7432, 98.2619
046, 4.2489, 1.7068, 98.2952
047, 3.8931, 1.5865, 98.4034
048, 3.9467, 1.6117, 98.3873
049, 4.2451, 1.7776, 98.2255
050, 4.1153, 1.6754, 98.3165
051, 3.7778, 1.5905, 98.4125
052, 4.1935, 1.7250, 98.2659
053, 4.1212, 1.6916, 98.3054
054, 3.6610, 1.4742, 98.5217
055, 3.7450, 1.5410, 98.4590
056, 3.5752, 1.4115, 98.5804
057, 3.9941, 1.6380, 98.3569
058, 4.0274, 1.6330, 98.3610
059, 4.0983, 1.6552, 98.3367
060, 3.7089, 1.4793, 98.5157
061, 3.9261, 1.5713, 98.4328
062, 3.7521, 1.5278, 98.4762
063, 3.8779, 1.6218, 98.3761
064, 4.0555, 1.6491, 98.3397
065, 3.9617, 1.5895, 98.3974
test_total_loss, test_argmax_MAE, test_accuracy:
5.2410, 2.0769, 97.9231
******************************************************************
train and test on ID: 10
******************************************************************
epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 23.4827, 9.2838, 89.6788
002, 15.6821, 6.5020, 93.4879
003, 13.7094, 5.8596, 94.1263
004, 12.4492, 5.5000, 94.4939
005, 11.5699, 5.0727, 94.9172
006, 11.2085, 4.8020, 95.1990
007, 9.8632, 4.2071, 95.7818
008, 9.7606, 4.1707, 95.8192
009, 9.3117, 3.8949, 96.0960
010, 9.6307, 4.1455, 95.8354
011, 9.3310, 3.9939, 96.0020
012, 8.7841, 3.7495, 96.2616
013, 8.6605, 3.7061, 96.2980
014, 8.7121, 3.8374, 96.1737
015, 7.9982, 3.4455, 96.5606
016, 8.5818, 3.7020, 96.3000
017, 7.4620, 3.2657, 96.7424
018, 8.7541, 3.5869, 96.4283
019, 8.0091, 3.3293, 96.6737
020, 7.2953, 3.0212, 96.9768
021, 7.2498, 3.1394, 96.8556
022, 7.2139, 3.0990, 96.9162
023, 7.1757, 3.0939, 96.9051
024, 6.9074, 2.8323, 97.1616
025, 7.1713, 3.0455, 96.9606
026, 7.4806, 3.1374, 96.8606
027, 6.9236, 2.8646, 97.1263
028, 6.4929, 2.7455, 97.2434
029, 6.1702, 2.5737, 97.3808
030, 6.2802, 2.6606, 97.3313
031, 5.6892, 2.3364, 97.6515
032, 5.5582, 2.2919, 97.7111
033, 5.0421, 2.0545, 97.9455
034, 4.8596, 1.9859, 98.0101
035, 4.7296, 1.9626, 98.0333
036, 4.6086, 1.9030, 98.0899
037, 4.7412, 1.9949, 98.0030
038, 4.6503, 1.8970, 98.1040
039, 4.5305, 1.8818, 98.1172
040, 4.1600, 1.6980, 98.2939
041, 4.3680, 1.7980, 98.2040
042, 4.3724, 1.8051, 98.1848
043, 4.0219, 1.6414, 98.3566
044, 4.1718, 1.7273, 98.2798
045, 4.2545, 1.7626, 98.2434
046, 4.4629, 1.7970, 98.1949
047, 4.4462, 1.8677, 98.1354
048, 4.1220, 1.6798, 98.3192
049, 3.9192, 1.5828, 98.4162
050, 4.1183, 1.6778, 98.3182
051, 3.9296, 1.6040, 98.3859
052, 4.2624, 1.7455, 98.2475
053, 3.7158, 1.5364, 98.4697
054, 4.1339, 1.7040, 98.2929
055, 3.8484, 1.5758, 98.4212
056, 3.6950, 1.4667, 98.5263
057, 4.0075, 1.5727, 98.4283
058, 3.9644, 1.6323, 98.3636
059, 3.8790, 1.5687, 98.4313
060, 4.1351, 1.6283, 98.3596
061, 3.5923, 1.4869, 98.5121
062, 4.0308, 1.6677, 98.3273
063, 3.8822, 1.5747, 98.4253
064, 4.0845, 1.6596, 98.3293
